cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),ZBi (Ïƒ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,-0.198
140>mT>100GeV,290.678,34.804,1156.575,2327.195,3585.151,1.05e+04,2.73e+04,1.373,-0.177
VertexBDTScore>0.1,268.245,16.828,1002.699,1992.714,3077.472,4023.637,1.33e+04,1.751,-0.161
met_tst_sig>6,246.403,4.697,909.431,1758.483,2308.577,179.992,3939.742,2.583,-0.109
ph_eta<1.75,216.296,3.501,712.931,1328.213,1232.760,110.234,2708.907,2.770,-0.081
dphi_met_phterm>1.25,204.334,3.400,603.707,1216.343,1162.975,110.234,2073.921,2.842,-0.068
dmet>-10GeV,198.450,2.571,584.803,1142.265,1096.274,74.607,1823.698,2.887,-0.059
dphi_jj_central<2.5,189.782,2.187,520.273,1026.390,1006.177,62.174,1823.698,2.848,-0.057
dphi_met_jetterm<0.75,189.094,2.187,515.905,1020.246,1003.546,62.003,1802.847,2.849,-0.056
